,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,00797,FP13,942.00 CS,942.00 CS,938.00 CS,780.00 CS,780.00 CS,780.00 CS,780.00 CS,779.00 CS,,,,,"6,721.00 CS"
Total Inventory Qty,00800,FP03,,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,5.00 CS
Total Inventory Qty,00800,FP07,207.00 CS,145.00 CS,140.00 CS,340.00 CS,65.00 CS,95.00 CS,134.00 CS,30.00 CS,,,50.00 CS,50.00 CS,"1,256.00 CS"
Total Inventory Qty,00800,FP13,"2,747.00 CS","2,200.00 CS","2,783.00 CS","2,021.00 CS","1,308.00 CS",602.00 CS,271.00 CS,,204.00 CS,490.00 CS,30.00 CS,,"12,656.00 CS"
Total Inventory Qty,00803,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,0.50 CS,0.50 CS,0.50 CS,,,,7.50 CS
Total Inventory Qty,00803,FP07,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,1.00 CS,1.00 CS,1.00 CS,,171.00 CS
Total Inventory Qty,00803,FP13,"1,266.00 CS","1,266.00 CS","1,266.00 CS","1,266.00 CS","1,306.00 CS","1,306.00 CS","1,306.00 CS","1,020.00 CS",583.00 CS,583.00 CS,583.00 CS,582.00 CS,"12,333.00 CS"
Total Inventory Qty,00804,FM01,,,,,,,174.00 CS,,,,,,174.00 CS
Total Inventory Qty,00804,FP07,517.00 CS,517.00 CS,517.00 CS,517.00 CS,516.00 CS,197.00 CS,"4,294.00 CS","4,030.00 CS","3,492.00 CS","3,492.00 CS","3,492.00 CS","3,490.00 CS","25,071.00 CS"
Total Inventory Qty,00804,FP13,,,,,,,"1,009.00 CS","1,940.00 CS",271.00 CS,142.00 CS,142.00 CS,141.00 CS,"3,645.00 CS"
Total Inventory Qty,00804,FP14,,,,,,,,650.00 CS,400.00 CS,,,,"1,050.00 CS"
Total Inventory Qty,00807,FP03,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,1.97 CS,23.60 CS
Total Inventory Qty,00807,FP07,100.00 CS,100.00 CS,100.00 CS,100.00 CS,100.00 CS,100.00 CS,180.00 CS,56.00 CS,56.00 CS,56.00 CS,56.00 CS,56.00 CS,"1,060.00 CS"
Total Inventory Qty,00807,FP13,68.00 CS,68.00 CS,68.00 CS,,,"2,499.00 CS",804.00 CS,804.00 CS,804.00 CS,804.00 CS,804.00 CS,804.00 CS,"7,527.00 CS"
Total Inventory Qty,00810,FM01,,,,44.00 CS,,,,,,,,,44.00 CS
Total Inventory Qty,00810,FP07,"2,223.00 CS","1,408.00 CS","6,006.00 CS","9,946.00 CS","10,713.00 CS","9,361.00 CS","9,303.00 CS","8,403.00 CS","8,710.00 CS","7,877.00 CS","7,316.00 CS","6,149.00 CS","87,415.00 CS"
Total Inventory Qty,00810,FP13,164.00 CS,717.00 CS,769.00 CS,385.00 CS,"1,396.00 CS",546.00 CS,256.00 CS,369.00 CS,307.00 CS,393.00 CS,597.00 CS,"1,026.00 CS","6,925.00 CS"
Total Inventory Qty,00811,FM01,,,,,"1,466.00 CS",,,,,,,,"1,466.00 CS"
Total Inventory Qty,00811,FP07,589.00 CS,589.00 CS,586.00 CS,586.00 CS,"2,664.00 CS","11,466.00 CS","11,476.00 CS","8,596.00 CS","6,246.00 CS","6,572.00 CS","6,570.00 CS","6,570.00 CS","62,510.00 CS"
Total Inventory Qty,00811,FP13,"1,574.00 CS","1,572.00 CS","1,572.00 CS","1,489.00 CS","1,489.00 CS","1,489.00 CS","1,490.00 CS","1,400.00 CS","1,388.00 CS","1,387.00 CS","1,387.00 CS","1,386.00 CS","17,623.00 CS"
Total Inventory Qty,00816,FP13,50.00 CS,50.00 CS,50.00 CS,50.00 CS,,,,,698.00 CS,,102.00 CS,102.00 CS,"1,102.00 CS"
Total Inventory Qty,00818,FP07,127.00 CS,127.00 CS,127.00 CS,127.00 CS,127.00 CS,445.00 CS,195.00 CS,44.00 CS,44.00 CS,44.00 CS,44.00 CS,44.00 CS,"1,495.00 CS"
Total Inventory Qty,00818,FP13,910.00 CS,910.00 CS,910.00 CS,,,"1,972.00 CS",394.00 CS,384.00 CS,381.00 CS,381.00 CS,381.00 CS,381.00 CS,"7,004.00 CS"
Total Inventory Qty,00820,FP03,2.67 CS,2.67 CS,2.67 CS,2.83 CS,2.83 CS,2.83 CS,1.83 CS,1.83 CS,1.83 CS,0.83 CS,0.83 CS,0.83 CS,24.50 CS
Total Inventory Qty,00820,FP07,111.00 CS,150.00 CS,200.00 CS,200.00 CS,196.00 CS,112.00 CS,90.00 CS,,,250.00 CS,300.00 CS,,"1,609.00 CS"
Total Inventory Qty,00820,FP13,"20,299.00 CS","18,777.00 CS","11,142.00 CS","7,780.00 CS","2,660.00 CS",,"3,885.00 CS",49.00 CS,99.00 CS,"1,273.00 CS","2,667.00 CS","1,175.00 CS","69,806.00 CS"
Total Inventory Qty,00820,FP14,"1,900.00 CS",300.00 CS,,,,,,,,100.00 CS,992.00 CS,"1,800.00 CS","5,092.00 CS"
Total Inventory Qty,00821,FP07,78.00 CS,68.00 CS,210.00 CS,335.00 CS,"1,463.00 CS","1,868.00 CS",642.00 CS,148.00 CS,56.00 CS,16.00 CS,55.00 CS,115.00 CS,"5,054.00 CS"
Total Inventory Qty,00821,FP13,"5,223.00 CS","9,132.00 CS","7,435.00 CS","5,218.00 CS","2,815.00 CS","4,727.00 CS","3,342.00 CS","3,903.00 CS","3,200.00 CS","2,629.00 CS","2,387.00 CS","2,095.00 CS","52,106.00 CS"
Total Inventory Qty,00822,FP01,,,,,,,,,,,50.00 CS,450.00 CS,500.00 CS
Total Inventory Qty,00822,FP07,516.00 CS,360.00 CS,265.00 CS,880.00 CS,874.00 CS,895.00 CS,998.00 CS,398.00 CS,,"1,350.00 CS",,64.00 CS,"6,600.00 CS"
Total Inventory Qty,00822,FP13,"42,839.00 CS","40,733.00 CS","27,722.00 CS","11,804.00 CS","7,649.00 CS","6,910.00 CS","4,078.00 CS","4,765.00 CS","13,709.00 CS","7,677.00 CS","5,109.00 CS","9,947.00 CS","1,82,942.00 CS"
Total Inventory Qty,00822,FP14,500.00 CS,750.00 CS,650.00 CS,,562.00 CS,"1,038.00 CS","2,000.00 CS",750.00 CS,900.00 CS,"1,450.00 CS","3,478.00 CS",646.00 CS,"12,724.00 CS"
Total Inventory Qty,00823,FP03,0.90 CS,0.90 CS,0.90 CS,0.90 CS,1.73 CS,1.73 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,13.07 CS
Total Inventory Qty,00823,FP07,90.00 CS,69.00 CS,18.00 CS,18.00 CS,17.00 CS,116.00 CS,162.00 CS,134.00 CS,33.00 CS,,150.00 CS,150.00 CS,957.00 CS
Total Inventory Qty,00823,FP13,"3,166.00 CS","5,198.00 CS","2,993.00 CS","1,914.00 CS","6,009.00 CS","3,753.00 CS","5,864.00 CS","2,102.00 CS","4,432.00 CS","6,174.00 CS","5,934.00 CS","3,821.00 CS","51,360.00 CS"
Total Inventory Qty,00823,FP14,,"1,613.21 CS",,,,,,,100.00 CS,350.00 CS,,,"2,063.21 CS"
Total Inventory Qty,00827,FP07,13.00 CS,81.00 CS,58.00 CS,28.00 CS,99.00 CS,50.00 CS,50.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,484.00 CS
Total Inventory Qty,00827,FP13,"2,851.00 CS","2,416.00 CS","1,823.00 CS","1,466.00 CS","1,144.00 CS",806.00 CS,280.00 CS,50.00 CS,46.00 CS,86.00 CS,74.00 CS,69.00 CS,"11,111.00 CS"
Total Inventory Qty,00828,FM01,,6.00 CS,80.00 CS,,"1,320.03 CS","1,480.68 CS",,,,,360.00 CS,,"3,246.70 CS"
Total Inventory Qty,00828,FP07,"10,650.00 CS","4,848.00 CS","1,917.00 CS","6,402.00 CS",397.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,,"24,220.00 CS"
