,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,06531,FP07,619.00 CS,887.00 CS,474.00 CS,667.00 CS,454.00 CS,350.00 CS,195.00 CS,204.00 CS,104.00 CS,375.00 CS,150.00 CS,155.00 CS,"4,634.00 CS"
Total Inventory Qty,06531,FP13,"2,193.00 CS","1,184.00 CS","5,099.00 CS","3,952.00 CS","2,004.00 CS","1,838.00 CS",680.00 CS,"1,097.00 CS",2.00 CS,"1,518.00 CS","2,552.00 CS",15.00 CS,"22,134.00 CS"
Total Inventory Qty,06533,FP07,"1,185.00 CS",647.00 CS,627.00 CS,527.00 CS,350.00 CS,320.00 CS,254.00 CS,379.00 CS,265.00 CS,349.00 CS,312.00 CS,1.00 CS,"5,216.00 CS"
Total Inventory Qty,06533,FP13,"2,186.00 CS","1,043.00 CS","1,776.00 CS","3,985.00 CS","2,673.00 CS","4,142.00 CS","2,737.00 CS","2,617.00 CS","1,168.00 CS","2,023.00 CS","1,210.00 CS",,"25,560.00 CS"
Total Inventory Qty,06534,FM01,,,,6.00 CS,,,,,,,,,6.00 CS
Total Inventory Qty,06534,FP07,"8,182.00 CS","6,549.00 CS","5,355.00 CS","6,108.00 CS","4,063.00 CS","6,884.00 CS","3,819.00 CS","2,478.00 CS","9,749.00 CS","7,419.00 CS","3,068.00 CS","2,715.00 CS","66,389.00 CS"
Total Inventory Qty,06534,FP13,977.00 CS,"3,033.00 CS",320.00 CS,"2,100.00 CS","3,590.00 CS","1,638.00 CS","3,646.00 CS","4,959.00 CS","3,082.00 CS","2,470.00 CS","5,069.00 CS",718.00 CS,"31,602.00 CS"
Total Inventory Qty,06535,FM01,,,,,403.00 CS,,,,,,,,403.00 CS
Total Inventory Qty,06535,FP07,"9,228.00 CS","7,515.00 CS","3,567.00 CS","8,163.00 CS","9,621.00 CS","7,068.00 CS","4,685.00 CS","1,595.00 CS","8,564.00 CS","6,862.00 CS","3,482.00 CS","1,669.00 CS","72,019.00 CS"
Total Inventory Qty,06535,FP13,"1,325.00 CS",,"2,974.00 CS","4,198.00 CS","1,945.00 CS","3,810.00 CS","3,439.00 CS","4,117.00 CS","4,394.00 CS","3,029.00 CS","4,637.00 CS","1,022.00 CS","34,890.00 CS"
Total Inventory Qty,06536,FP07,967.00 CS,718.00 CS,437.00 CS,347.00 CS,304.00 CS,241.00 CS,78.00 CS,158.00 CS,113.00 CS,127.00 CS,,,"3,490.00 CS"
Total Inventory Qty,06536,FP13,998.00 CS,"1,907.00 CS","1,301.00 CS","2,379.00 CS","1,726.00 CS","2,205.00 CS","1,697.00 CS","1,923.00 CS","1,223.00 CS",86.00 CS,,,"15,445.00 CS"
Total Inventory Qty,06537,FP07,"2,648.00 CS","1,072.00 CS","1,651.00 CS","1,358.00 CS",805.00 CS,477.00 CS,237.00 CS,492.00 CS,627.00 CS,467.00 CS,425.00 CS,588.00 CS,"10,847.00 CS"
Total Inventory Qty,06537,FP13,"6,062.00 CS","4,467.00 CS","6,519.00 CS","4,051.00 CS","3,530.00 CS","2,300.00 CS","5,161.00 CS","7,975.00 CS","4,856.00 CS","4,382.00 CS",467.00 CS,"2,686.00 CS","52,456.00 CS"
Total Inventory Qty,06548,FP03,0.06 CS,0.06 CS,0.06 CS,,,,,,,,,,0.19 CS
Total Inventory Qty,06548,FP07,8.00 CS,8.00 CS,8.00 CS,8.00 CS,8.00 CS,,,,,,,,40.00 CS
Total Inventory Qty,06548,FP13,21.00 CS,,,,,,6.00 CS,6.00 CS,6.00 CS,6.00 CS,6.00 CS,6.00 CS,57.00 CS
Total Inventory Qty,06600,FP07,565.00 CS,551.00 CS,512.00 CS,450.00 CS,444.00 CS,444.00 CS,444.00 CS,49.00 CS,49.00 CS,,,,"3,508.00 CS"
Total Inventory Qty,06600,FP13,669.00 CS,556.00 CS,556.00 CS,,,,,,,,,,"1,781.00 CS"
Total Inventory Qty,06602,FP13,598.00 CS,,,,,,,,,,,,598.00 CS
Total Inventory Qty,06619,FP03,1.58 CS,1.58 CS,1.58 CS,,,,,,,,,,4.75 CS
Total Inventory Qty,06619,FP07,"1,729.00 CS","4,421.00 CS","4,407.00 CS","4,406.00 CS","8,918.00 CS","8,109.00 CS","7,029.00 CS","5,167.00 CS","2,896.00 CS","2,884.00 CS","2,883.00 CS","2,854.00 CS","55,703.00 CS"
Total Inventory Qty,06619,FP13,155.00 CS,155.00 CS,213.00 CS,8.00 CS,164.00 CS,804.00 CS,"1,060.00 CS",278.00 CS,274.00 CS,274.00 CS,274.00 CS,274.00 CS,"3,933.00 CS"
Total Inventory Qty,06621,FP03,3.00 CS,3.00 CS,3.00 CS,,,,,,,,,,9.00 CS
Total Inventory Qty,06621,FP07,566.00 CS,566.00 CS,"2,200.00 CS","2,200.00 CS","4,888.00 CS","10,092.00 CS","9,209.00 CS","7,511.00 CS","3,801.00 CS","3,793.00 CS","3,786.00 CS","3,630.00 CS","52,242.00 CS"
Total Inventory Qty,06621,FP13,"1,481.00 CS","1,481.00 CS","1,479.00 CS","1,464.00 CS","1,464.00 CS","1,454.00 CS","1,454.00 CS",121.00 CS,115.00 CS,112.00 CS,111.00 CS,223.00 CS,"10,959.00 CS"
Total Inventory Qty,06851,FM01,,,,,,"1,728.00 CS",483.00 CS,,,,,,"2,211.00 CS"
Total Inventory Qty,06851,FP07,3.00 CS,3.00 CS,3.00 CS,2.00 CS,2.00 CS,"7,461.00 CS","6,284.00 CS",153.00 CS,7.00 CS,"2,307.00 CS","1,327.00 CS","2,019.00 CS","19,571.00 CS"
Total Inventory Qty,07090,FP03,0.92 CS,0.67 CS,0.83 CS,1.25 CS,1.25 CS,1.00 CS,3.42 CS,3.42 CS,3.42 CS,2.00 CS,2.00 CS,2.00 CS,22.17 CS
Total Inventory Qty,07090,FP07,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,80.00 CS,75.00 CS,91.00 CS,154.00 CS,153.00 CS,75.00 CS,75.00 CS,953.00 CS
Total Inventory Qty,07090,FP13,721.00 CS,443.00 CS,"6,698.00 CS","5,080.00 CS","7,215.00 CS","7,613.00 CS","6,071.00 CS","6,284.00 CS","7,436.00 CS","5,437.00 CS","3,538.00 CS","1,516.00 CS","58,052.00 CS"
Total Inventory Qty,07106,FP03,0.58 CS,0.33 CS,0.83 CS,4.67 CS,4.67 CS,4.67 CS,4.50 CS,4.08 CS,4.08 CS,4.00 CS,3.75 CS,3.75 CS,39.92 CS
Total Inventory Qty,07106,FP07,152.00 CS,152.00 CS,150.00 CS,150.00 CS,141.00 CS,113.00 CS,83.00 CS,83.00 CS,159.00 CS,112.00 CS,114.00 CS,113.00 CS,"1,522.00 CS"
Total Inventory Qty,07106,FP13,"2,318.00 CS","2,225.00 CS","1,747.00 CS","1,109.00 CS",626.00 CS,"1,429.00 CS",516.00 CS,"2,814.00 CS","1,789.00 CS","1,797.00 CS","1,409.00 CS","1,248.00 CS","19,027.00 CS"
Total Inventory Qty,07109,FP07,"1,201.00 CS","1,201.00 CS","1,199.00 CS","1,199.00 CS","1,194.00 CS","1,192.00 CS","1,068.00 CS","14,430.00 CS","14,550.00 CS","12,993.00 CS","2,945.00 CS","2,915.00 CS","56,087.00 CS"
Total Inventory Qty,07109,FP13,80.00 CS,80.00 CS,80.00 CS,,2.00 CS,,,,,,,,242.00 CS
Total Inventory Qty,07136,FM01,,,,,,,27.00 CS,,,,,,27.00 CS
Total Inventory Qty,07136,FP03,0.19 CS,0.19 CS,0.19 CS,,,,,,,,,,0.58 CS
Total Inventory Qty,07136,FP07,"2,235.00 CS","2,235.00 CS","2,234.00 CS","2,234.00 CS","2,230.00 CS","2,228.00 CS","8,735.00 CS","8,762.00 CS","8,761.00 CS","8,020.00 CS","3,261.00 CS","1,320.00 CS","52,255.00 CS"
Total Inventory Qty,07139,FM01,,,,,,,,44.00 CS,,,"1,037.00 CS",,"1,081.00 CS"
Total Inventory Qty,07139,FP07,365.00 CS,365.00 CS,364.00 CS,76.00 CS,74.00 CS,74.00 CS,73.00 CS,"6,924.00 CS","6,967.00 CS","5,524.00 CS","5,613.00 CS",830.00 CS,"27,249.00 CS"
Total Inventory Qty,07144,FM01,,,,,,,,,24.00 CS,,43.00 CS,,67.00 CS
Total Inventory Qty,07144,FP07,"5,068.00 CS","5,068.00 CS","5,064.00 CS","5,064.00 CS","5,061.00 CS","5,058.00 CS","28,427.00 CS","37,005.00 CS","48,680.00 CS","48,065.00 CS","12,225.00 CS",880.00 CS,"2,05,665.00 CS"
Total Inventory Qty,07144,FP13,140.00 CS,140.00 CS,140.00 CS,35.00 CS,32.00 CS,31.00 CS,31.00 CS,31.00 CS,,,,31.00 CS,611.00 CS
Total Inventory Qty,07206,FP03,,,0.92 CS,,1.00 CS,0.83 CS,3.83 CS,3.83 CS,3.83 CS,4.00 CS,4.00 CS,3.83 CS,26.08 CS
Total Inventory Qty,07206,FP07,130.00 CS,121.00 CS,99.00 CS,88.00 CS,125.00 CS,122.00 CS,87.00 CS,44.00 CS,24.00 CS,4.00 CS,64.00 CS,51.00 CS,959.00 CS
Total Inventory Qty,07206,FP13,324.00 CS,25.00 CS,"1,028.00 CS",819.00 CS,421.00 CS,137.00 CS,828.00 CS,567.00 CS,390.00 CS,,544.00 CS,224.00 CS,"5,307.00 CS"
Total Inventory Qty,07502,FP03,3.27 CS,3.27 CS,3.27 CS,,,,,,,,,,9.81 CS
Total Inventory Qty,07502,FP07,"6,400.00 CS","6,400.00 CS","6,400.00 CS","6,400.00 CS","6,400.00 CS","1,460.00 CS","1,460.00 CS",268.00 CS,53.00 CS,53.00 CS,53.00 CS,49.00 CS,"35,396.00 CS"
Total Inventory Qty,07502,FP13,39.00 CS,39.00 CS,39.00 CS,,,,,,,,,,117.00 CS
Total Inventory Qty,07511,FP07,26.00 CS,26.00 CS,26.00 CS,26.00 CS,26.00 CS,26.00 CS,26.00 CS,,,,,,182.00 CS
Total Inventory Qty,07527,FP07,"1,694.00 CS","1,693.00 CS","1,693.00 CS","1,693.00 CS","1,693.00 CS",,,,,,,,"8,466.00 CS"
Total Inventory Qty,07531,FP07,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,,,,,176.00 CS
Total Inventory Qty,07533,FP07,"7,133.00 CS","7,133.00 CS","7,133.00 CS","2,901.00 CS",885.00 CS,129.00 CS,314.00 CS,247.00 CS,247.00 CS,209.00 CS,209.00 CS,209.00 CS,"26,749.00 CS"
Total Inventory Qty,07536,FP07,222.00 CS,222.00 CS,223.00 CS,224.00 CS,224.00 CS,224.00 CS,224.00 CS,224.00 CS,224.00 CS,224.00 CS,"4,606.00 CS","4,862.00 CS","11,703.00 CS"
Total Inventory Qty,07547,FP07,51.00 CS,51.00 CS,51.00 CS,51.00 CS,554.00 CS,"1,355.00 CS",783.00 CS,707.00 CS,707.00 CS,706.00 CS,706.00 CS,706.00 CS,"6,428.00 CS"
Total Inventory Qty,07558,FP07,"1,750.00 CS","1,750.00 CS","1,750.00 CS","1,750.00 CS","1,750.00 CS","1,750.00 CS","1,415.00 CS","1,385.00 CS",773.00 CS,72.00 CS,72.00 CS,72.00 CS,"14,289.00 CS"
Total Inventory Qty,07578,FP07,,,,,"4,608.00 CS","5,675.00 CS","4,177.00 CS",719.00 CS,382.00 CS,,,,"15,561.00 CS"
Total Inventory Qty,07579,FP07,749.00 CS,749.00 CS,749.00 CS,749.00 CS,749.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,"4,095.00 CS"
Total Inventory Qty,07579,FP13,59.00 CS,59.00 CS,59.00 CS,,,,,,,,,,177.00 CS
Total Inventory Qty,07580,FP07,"5,414.00 CS","5,414.00 CS","5,414.00 CS","5,414.00 CS","5,414.00 CS",,,,,,,,"27,070.00 CS"
Total Inventory Qty,07581,FP07,"2,603.00 CS","2,603.00 CS","2,603.00 CS","2,603.00 CS","2,603.00 CS","2,603.00 CS","2,603.00 CS",3.00 CS,922.00 CS,907.00 CS,898.00 CS,898.00 CS,"21,849.00 CS"
Total Inventory Qty,07586,FP03,1.42 CS,2.17 CS,0.67 CS,0.02 CS,0.02 CS,0.58 CS,0.58 CS,1.50 CS,1.50 CS,,,1.75 CS,10.21 CS
Total Inventory Qty,07586,FP07,"2,269.00 CS","8,061.00 CS","7,119.00 CS","6,951.00 CS","7,196.00 CS","6,964.00 CS","6,204.00 CS","5,376.00 CS","4,840.00 CS","4,644.00 CS","4,146.00 CS","3,717.00 CS","67,487.00 CS"
Total Inventory Qty,07586,FP13,341.00 CS,290.00 CS,916.00 CS,818.00 CS,784.00 CS,371.00 CS,780.00 CS,"1,140.00 CS","1,129.00 CS","1,097.00 CS",905.00 CS,447.00 CS,"9,018.00 CS"
Total Inventory Qty,07587,FM01,189.00 CS,,,,,,,,,,"1,906.00 CS",,"2,095.00 CS"
Total Inventory Qty,07587,FP03,2.58 CS,2.58 CS,1.58 CS,2.08 CS,2.08 CS,1.92 CS,1.75 CS,1.75 CS,1.58 CS,,2.00 CS,1.92 CS,21.83 CS
Total Inventory Qty,07587,FP07,"27,577.00 CS","17,318.00 CS","21,586.00 CS","11,410.00 CS","11,256.00 CS","11,007.00 CS","10,651.00 CS","8,804.00 CS","6,987.00 CS","1,959.00 CS","7,571.00 CS","27,290.00 CS","1,63,416.00 CS"
Total Inventory Qty,07587,FP13,709.00 CS,386.00 CS,"1,261.00 CS","2,554.00 CS","2,172.00 CS","1,435.00 CS",795.00 CS,"1,821.00 CS","1,735.00 CS",890.00 CS,507.00 CS,800.00 CS,"15,065.00 CS"
Total Inventory Qty,07588,FP13,8.00 CS,8.00 CS,8.00 CS,,,,,,,,,,24.00 CS
Total Inventory Qty,07589,FM01,,,,,,,"1,050.00 CS",,,,,,"1,050.00 CS"
Total Inventory Qty,07589,FP03,1.00 CS,1.00 CS,1.00 CS,,,,,,,,,,3.00 CS
Total Inventory Qty,07589,FP07,,,,,,"4,400.00 CS","2,636.00 CS","2,636.00 CS","2,486.00 CS","2,236.00 CS","2,236.00 CS","2,236.00 CS","18,866.00 CS"
Total Inventory Qty,07589,FP13,"6,840.00 CS","6,839.00 CS","6,839.00 CS","4,889.00 CS","4,889.00 CS",486.00 CS,,,,,,,"30,782.00 CS"
Total Inventory Qty,07601,FP07,,,,,,,72.00 CS,72.00 CS,72.00 CS,,,,216.00 CS
Total Inventory Qty,07624,FP03,3.50 CS,"6,445.83 CS",3.33 CS,3.83 CS,145.67 CS,12.17 CS,18.00 CS,15.00 CS,14.33 CS,9.00 CS,8.83 CS,8.00 CS,"6,687.50 CS"
Total Inventory Qty,07624,FP07,"8,907.00 CS","1,428.00 CS","1,610.00 CS","2,167.00 CS","14,377.00 CS","12,395.00 CS","5,307.00 CS","6,788.00 CS","12,764.00 CS","11,902.00 CS","11,173.00 CS","8,566.00 CS","97,384.00 CS"
Total Inventory Qty,07624,FP13,"5,771.00 CS","13,116.00 CS","22,651.00 CS","36,179.00 CS","41,457.00 CS","21,576.00 CS",700.00 CS,"30,690.00 CS","35,246.00 CS","35,952.00 CS","29,936.00 CS","17,399.00 CS","2,90,673.00 CS"
Total Inventory Qty,07624,FP14,180.00 CS,,,180.00 CS,,,,180.00 CS,,,,,540.00 CS
Total Inventory Qty,07630,FP07,38.00 CS,25.00 CS,24.00 CS,24.00 CS,22.00 CS,"2,269.00 CS","3,767.00 CS","1,464.00 CS","1,058.00 CS",316.00 CS,,,"9,007.00 CS"
Total Inventory Qty,07631,FM02,,,,,,10.00 CS,,,,,,,10.00 CS
Total Inventory Qty,07631,FP07,,,,,,152.00 CS,401.00 CS,135.00 CS,30.00 CS,3.00 CS,3.00 CS,3.00 CS,727.00 CS
Total Inventory Qty,07634,FM01,,,,,30.00 CS,240.00 CS,,,,,,,270.00 CS
Total Inventory Qty,07634,FP03,0.17 CS,0.17 CS,0.17 CS,2.38 CS,2.38 CS,2.38 CS,0.75 CS,0.75 CS,0.75 CS,0.17 CS,0.17 CS,0.17 CS,10.38 CS
Total Inventory Qty,07634,FP07,187.00 CS,187.00 CS,187.00 CS,187.00 CS,576.00 CS,202.00 CS,"1,477.00 CS",449.00 CS,17.00 CS,17.00 CS,17.00 CS,,"3,503.00 CS"
Total Inventory Qty,07638,FP07,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,13.00 CS,13.00 CS,13.00 CS,13.00 CS,220.00 CS
Total Inventory Qty,07641,FP05,,,,,,"1,092.00 CS",,,,,,,"1,092.00 CS"
Total Inventory Qty,07641,FP07,,,,,,"2,236.00 CS","2,589.00 CS",725.00 CS,105.00 CS,2.00 CS,1.00 CS,1.00 CS,"5,659.00 CS"
Total Inventory Qty,07645,FP07,172.00 CS,172.00 CS,172.00 CS,172.00 CS,172.00 CS,172.00 CS,"2,684.00 CS",238.00 CS,52.00 CS,52.00 CS,51.00 CS,50.00 CS,"4,159.00 CS"
Total Inventory Qty,07645,FP13,,,,,,"2,512.00 CS",200.00 CS,,,,,,"2,712.00 CS"
Total Inventory Qty,07645,FP14,,,,,,,1.00 CS,,,,,,1.00 CS
Total Inventory Qty,07674,FP07,,,,,,,,,,"4,032.00 CS","14,618.00 CS","5,217.00 CS","23,867.00 CS"
Total Inventory Qty,07677,FP07,315.00 CS,315.00 CS,314.00 CS,315.00 CS,315.00 CS,276.00 CS,,,"4,241.00 CS","6,063.00 CS","5,981.00 CS","3,594.00 CS","21,729.00 CS"
Total Inventory Qty,07680,FP07,24.00 CS,24.00 CS,24.00 CS,24.00 CS,24.00 CS,24.00 CS,24.00 CS,24.00 CS,,,,,192.00 CS
Total Inventory Qty,07681,FP07,23.00 CS,22.00 CS,22.00 CS,22.00 CS,"22,226.00 CS","22,226.00 CS","19,256.00 CS","1,640.00 CS",249.00 CS,248.00 CS,248.00 CS,248.00 CS,"66,430.00 CS"
Total Inventory Qty,07683,FP07,"1,637.00 CS","1,637.00 CS","1,637.00 CS","1,636.00 CS","1,631.00 CS","1,619.00 CS","1,415.00 CS","1,335.00 CS","1,335.00 CS","1,334.00 CS","1,334.00 CS","1,318.00 CS","17,868.00 CS"
Total Inventory Qty,07684,FP07,18.00 CS,18.00 CS,18.00 CS,,,,,,,,,,54.00 CS
Total Inventory Qty,07685,FM02,,162.00 CS,360.00 CS,,,,"1,440.00 CS","1,440.00 CS",,,,,"3,402.00 CS"
Total Inventory Qty,07685,FP07,"1,464.00 CS","17,519.00 CS","36,357.00 CS","74,246.00 CS","99,774.00 CS","99,774.00 CS","66,782.00 CS","22,423.00 CS","2,725.00 CS","2,725.00 CS","2,725.00 CS","2,725.00 CS","4,29,239.00 CS"
Total Inventory Qty,07695,FP03,1.00 CS,1.00 CS,1.00 CS,,,,,,,,,,3.00 CS
Total Inventory Qty,07695,FP13,78.00 CS,,,,,,,,,,,,78.00 CS
Total Inventory Qty,07696,FP07,855.00 CS,855.00 CS,855.00 CS,855.00 CS,,,,,,,,,"3,420.00 CS"
Total Inventory Qty,07698,FP07,135.00 CS,132.00 CS,132.00 CS,132.00 CS,132.00 CS,131.00 CS,131.00 CS,,,,,,925.00 CS
Total Inventory Qty,07701,FP01,"2,112.00 CS",,,,528.00 CS,,,71.00 CS,,,,,"2,711.00 CS"
Total Inventory Qty,07701,FP03,1.08 CS,1.67 CS,1.58 CS,,1.92 CS,13.42 CS,2.33 CS,3.33 CS,3.00 CS,1.83 CS,1.75 CS,0.75 CS,32.67 CS
Total Inventory Qty,07701,FP07,"6,096.00 CS","6,669.00 CS","5,792.00 CS","1,720.00 CS",,"2,324.00 CS","3,250.00 CS","3,974.00 CS","3,804.00 CS","3,202.00 CS","1,908.00 CS","2,739.00 CS","41,478.00 CS"
Total Inventory Qty,07701,FP13,"9,479.00 CS","5,931.00 CS","14,257.00 CS","3,715.00 CS","10,644.00 CS","15,576.00 CS","18,606.00 CS","27,474.00 CS","17,024.00 CS","11,224.00 CS","15,602.00 CS","12,708.00 CS","1,62,240.00 CS"
Total Inventory Qty,07817,FP03,1.92 CS,1.67 CS,1.25 CS,0.03 CS,0.03 CS,0.03 CS,1.83 CS,0.67 CS,1.67 CS,,,,9.09 CS
Total Inventory Qty,07817,FP07,"3,036.00 CS","4,067.00 CS","3,397.00 CS","4,464.00 CS","3,447.00 CS","3,060.00 CS","2,292.00 CS",507.00 CS,"3,022.00 CS","3,754.00 CS","2,676.00 CS","1,580.00 CS","35,302.00 CS"
Total Inventory Qty,07817,FP13,46.00 CS,606.00 CS,315.00 CS,755.00 CS,"1,689.00 CS","1,059.00 CS",923.00 CS,"1,909.00 CS","2,028.00 CS","2,018.00 CS","1,396.00 CS","1,032.00 CS","13,776.00 CS"
Total Inventory Qty,08028,FP03,,,2.00 CS,3.00 CS,3.00 CS,3.00 CS,1.67 CS,0.67 CS,0.50 CS,0.42 CS,0.17 CS,0.08 CS,14.50 CS
Total Inventory Qty,08028,FP07,"2,992.00 CS","5,778.00 CS","7,067.00 CS","7,053.00 CS","3,200.00 CS","1,171.00 CS","2,225.00 CS","1,077.00 CS","1,559.00 CS","2,428.00 CS","3,852.00 CS","4,037.00 CS","42,439.00 CS"
Total Inventory Qty,08028,FP13,"10,248.00 CS","1,761.00 CS","10,740.00 CS","12,304.00 CS","3,691.00 CS","1,545.00 CS","7,149.00 CS","1,310.00 CS","6,312.00 CS","7,942.00 CS","11,410.00 CS","7,789.00 CS","82,201.00 CS"
Total Inventory Qty,08070,FM01,,407.00 CS,,,,,,,,,,,407.00 CS
Total Inventory Qty,08070,FP07,"19,858.00 CS","46,845.00 CS","49,926.00 CS","47,032.00 CS","25,171.00 CS","6,701.00 CS",589.00 CS,72.00 CS,67.00 CS,101.00 CS,100.00 CS,125.00 CS,"1,96,587.00 CS"
Total Inventory Qty,08071,FP07,,"9,847.00 CS","9,843.00 CS","9,224.00 CS","6,091.00 CS","2,584.00 CS",910.00 CS,24.00 CS,23.00 CS,25.00 CS,24.00 CS,24.00 CS,"38,619.00 CS"
Total Inventory Qty,08079,FM01,,,40.00 CS,,,,,,,,,,40.00 CS
Total Inventory Qty,08079,FP07,485.00 CS,"6,577.00 CS","15,559.00 CS","14,470.00 CS","8,447.00 CS","4,055.00 CS","1,204.00 CS",16.00 CS,14.00 CS,13.00 CS,12.00 CS,30.00 CS,"50,882.00 CS"
Total Inventory Qty,08109,FM01,,,,,,,113.00 CS,,,,,,113.00 CS
Total Inventory Qty,08109,FP03,,,,3.83 CS,3.83 CS,3.83 CS,3.46 CS,3.46 CS,3.46 CS,3.00 CS,3.00 CS,3.00 CS,30.87 CS
Total Inventory Qty,08109,FP07,"1,084.00 CS","1,075.00 CS","1,063.00 CS","1,015.00 CS","1,003.00 CS","1,002.00 CS","8,099.00 CS","9,807.00 CS","9,795.00 CS","5,830.00 CS","3,299.00 CS",330.00 CS,"43,402.00 CS"
Total Inventory Qty,08109,FP13,88.00 CS,82.00 CS,74.00 CS,73.00 CS,,,,,,,,,317.00 CS
Total Inventory Qty,08136,FM01,61.50 CS,,,,,,24.00 CS,,,,,,85.50 CS
Total Inventory Qty,08136,FP03,1.00 CS,1.00 CS,1.00 CS,2.96 CS,2.96 CS,2.96 CS,2.54 CS,2.54 CS,2.54 CS,3.00 CS,3.00 CS,3.00 CS,28.50 CS
Total Inventory Qty,08136,FP07,"3,674.00 CS","3,674.00 CS","3,672.00 CS","3,672.00 CS","3,669.00 CS","3,668.00 CS","9,321.00 CS","9,355.00 CS","9,408.00 CS","8,754.00 CS","4,509.00 CS","3,226.00 CS","66,602.00 CS"
Total Inventory Qty,08136,FP13,,,,,2.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,,8.00 CS
Total Inventory Qty,08139,FM01,,,,,,,275.00 CS,,,,27.00 CS,,302.00 CS
Total Inventory Qty,08139,FP07,490.00 CS,490.00 CS,488.00 CS,484.00 CS,480.00 CS,478.00 CS,"4,646.00 CS","9,129.00 CS","9,128.00 CS","5,504.00 CS","4,570.00 CS",418.00 CS,"36,305.00 CS"
Total Inventory Qty,08139,FP13,42.00 CS,42.00 CS,42.00 CS,,2.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,280.00 CS,414.00 CS
Total Inventory Qty,08144,FM01,,,,,,,471.00 CS,,,,,,471.00 CS
Total Inventory Qty,08144,FP03,0.88 CS,0.88 CS,0.88 CS,0.58 CS,0.58 CS,0.58 CS,1.79 CS,1.79 CS,1.79 CS,4.00 CS,4.00 CS,4.00 CS,21.75 CS
Total Inventory Qty,08144,FP07,"2,753.00 CS","2,883.00 CS","2,937.00 CS","2,932.00 CS","3,005.00 CS","3,003.00 CS","53,836.00 CS","54,329.00 CS","55,838.00 CS","35,711.00 CS","16,087.00 CS","2,818.00 CS","2,36,132.00 CS"
Total Inventory Qty,08144,FP13,61.00 CS,61.00 CS,61.00 CS,44.00 CS,39.00 CS,39.00 CS,39.00 CS,39.00 CS,39.00 CS,39.00 CS,37.00 CS,401.00 CS,899.00 CS
Total Inventory Qty,08145,FP07,169.00 CS,153.00 CS,153.00 CS,147.00 CS,146.00 CS,143.00 CS,142.00 CS,142.00 CS,136.00 CS,"21,148.00 CS",488.00 CS,487.00 CS,"23,454.00 CS"
Total Inventory Qty,08149,FP03,,,0.75 CS,0.41 CS,0.41 CS,0.41 CS,0.16 CS,0.16 CS,0.16 CS,1.92 CS,1.92 CS,1.92 CS,8.22 CS
Total Inventory Qty,08149,FP07,"1,302.00 CS",279.00 CS,"2,120.00 CS","2,851.00 CS","1,229.00 CS",710.00 CS,"3,598.00 CS","5,544.00 CS","3,690.00 CS","6,641.00 CS","5,515.00 CS","3,421.00 CS","36,900.00 CS"
Total Inventory Qty,08149,FP13,394.00 CS,194.00 CS,650.00 CS,516.00 CS,878.00 CS,177.00 CS,464.00 CS,"1,143.00 CS","1,631.00 CS",773.00 CS,611.00 CS,873.00 CS,"8,304.00 CS"
Total Inventory Qty,08598,FP07,12.00 CS,12.00 CS,12.00 CS,12.00 CS,12.00 CS,12.00 CS,12.00 CS,,,,,,84.00 CS
Total Inventory Qty,08701,FP01,,366.00 CS,,,,,,,,,,,366.00 CS
Total Inventory Qty,08701,FP03,1.83 CS,0.33 CS,0.33 CS,0.50 CS,0.50 CS,1.33 CS,0.33 CS,2.83 CS,2.83 CS,3.00 CS,2.50 CS,6.00 CS,22.33 CS
Total Inventory Qty,08701,FP07,403.00 CS,20.00 CS,452.00 CS,422.00 CS,422.00 CS,456.00 CS,"1,320.00 CS","1,103.00 CS",955.00 CS,887.00 CS,820.00 CS,746.00 CS,"8,006.00 CS"
Total Inventory Qty,08701,FP13,140.00 CS,"1,600.00 CS","1,174.00 CS","1,070.00 CS",843.00 CS,396.00 CS,"5,159.00 CS","7,785.00 CS","6,962.00 CS","6,440.00 CS","5,867.00 CS","4,976.00 CS","42,412.00 CS"
Total Inventory Qty,08703,FP07,"1,949.00 CS","1,040.00 CS","1,320.00 CS","2,984.00 CS","3,463.00 CS","2,382.00 CS","2,381.00 CS","1,760.00 CS","1,296.00 CS","1,535.00 CS",695.00 CS,855.00 CS,"21,660.00 CS"
Total Inventory Qty,08703,FP13,"1,666.00 CS","1,186.00 CS",104.00 CS,"4,465.00 CS","3,625.00 CS","3,744.00 CS","1,087.00 CS",,"2,181.00 CS",741.00 CS,740.00 CS,,"19,539.00 CS"
Total Inventory Qty,08896,FP07,24.00 CS,24.00 CS,792.00 CS,17.00 CS,17.00 CS,17.00 CS,715.00 CS,852.00 CS,,,,,"2,458.00 CS"
